Compliance	Volume Fraction	Max Stress	Stress Integral 4	Stress Integral 12	Stress Integral 40
1.898e-07	0.2000	1.971e+02	4.812e+01	1.126e+02	1.640e+02
1.898e-07	0.2000	1.971e+02	4.812e+01	1.126e+02	1.640e+02
1.898e-07	0.2000	1.971e+02	4.812e+01	1.126e+02	1.640e+02
1.898e-07	0.2000	1.971e+02	4.812e+01	1.126e+02	1.640e+02
1.898e-07	0.2000	1.971e+02	4.812e+01	1.126e+02	1.640e+02
1.898e-07	0.2000	1.971e+02	4.812e+01	1.126e+02	1.640e+02
1.898e-07	0.2000	1.971e+02	4.812e+01	1.126e+02	1.640e+02
1.898e-07	0.2000	1.971e+02	4.812e+01	1.126e+02	1.640e+02
1.898e-07	0.2000	1.971e+02	4.812e+01	1.126e+02	1.640e+02
1.898e-07	0.2000	1.971e+02	4.812e+01	1.126e+02	1.640e+02
1.898e-07	0.2000	1.971e+02	4.812e+01	1.126e+02	1.640e+02
1.898e-07	0.2000	1.971e+02	4.812e+01	1.126e+02	1.640e+02
1.898e-07	0.2000	1.971e+02	4.812e+01	1.126e+02	1.640e+02
1.898e-07	0.2000	1.971e+02	4.812e+01	1.126e+02	1.640e+02
1.898e-07	0.2000	1.971e+02	4.812e+01	1.126e+02	1.640e+02
1.898e-07	0.2000	1.971e+02	4.812e+01	1.126e+02	1.640e+02
1.898e-07	0.2000	1.972e+02	4.814e+01	1.127e+02	1.641e+02
1.898e-07	0.2000	1.971e+02	4.813e+01	1.126e+02	1.640e+02
1.898e-07	0.2000	1.971e+02	4.813e+01	1.126e+02	1.640e+02
1.898e-07	0.2000	1.971e+02	4.813e+01	1.126e+02	1.640e+02
1.898e-07	0.2000	1.971e+02	4.813e+01	1.126e+02	1.640e+02
1.898e-07	0.2000	1.971e+02	4.813e+01	1.126e+02	1.640e+02
1.898e-07	0.2000	1.971e+02	4.813e+01	1.126e+02	1.640e+02
1.897e-07	0.2000	1.971e+02	4.813e+01	1.127e+02	1.640e+02
1.898e-07	0.2000	1.971e+02	4.813e+01	1.127e+02	1.640e+02
1.898e-07	0.2000	1.971e+02	4.813e+01	1.126e+02	1.640e+02
1.898e-07	0.2000	1.971e+02	4.813e+01	1.126e+02	1.640e+02
1.898e-07	0.2000	1.971e+02	4.813e+01	1.126e+02	1.640e+02
1.898e-07	0.2000	1.971e+02	4.813e+01	1.126e+02	1.640e+02
1.898e-07	0.2000	1.971e+02	4.813e+01	1.126e+02	1.640e+02
1.898e-07	0.2000	1.971e+02	4.813e+01	1.127e+02	1.640e+02
1.898e-07	0.2000	1.971e+02	4.813e+01	1.127e+02	1.640e+02
1.898e-07	0.2000	1.971e+02	4.813e+01	1.127e+02	1.640e+02
1.898e-07	0.2000	1.971e+02	4.813e+01	1.127e+02	1.640e+02
1.898e-07	0.2000	1.971e+02	4.813e+01	1.127e+02	1.640e+02
