Compliance	Volume Fraction	Max Stress
1.362e-04	0.4032	2.654e+03
9.400e-05	0.4032	2.654e+03
9.036e-05	0.4032	2.653e+03
9.017e-05	0.4032	2.653e+03
8.966e-05	0.4032	2.653e+03
8.979e-05	0.4032	2.654e+03
8.976e-05	0.4031	2.656e+03
8.946e-05	0.4031	2.656e+03
9.630e-03	0.3995	2.175e+03
8.732e-03	0.3996	2.180e+03
3.146e-05	0.4017	3.021e+03
3.204e-05	0.4017	3.025e+03
3.219e-05	0.4017	3.026e+03
4.103e-05	0.4014	3.064e+03
4.578e-05	0.4013	3.075e+03
1.171e-04	0.4005	3.110e+03
1.254e-04	0.4005	3.110e+03
1.413e-04	0.4003	3.113e+03
1.414e-04	0.4003	3.113e+03
2.453e-04	0.3984	3.141e+03
2.588e-04	0.3982	3.144e+03
2.577e-04	0.3983	3.144e+03
2.507e-04	0.3982	3.146e+03
2.352e-04	0.3981	3.145e+03
2.370e-04	0.3981	3.145e+03
2.370e-04	0.3981	3.145e+03
2.409e-04	0.3975	3.145e+03
2.409e-04	0.3975	3.145e+03
2.418e-04	0.3972	3.145e+03
2.472e-04	0.3957	3.144e+03
2.472e-04	0.3957	3.144e+03
2.553e-04	0.3939	3.145e+03
6.279e-05	0.3897	2.170e+03
5.726e-05	0.3903	2.173e+03
5.726e-05	0.3903	2.173e+03
5.726e-05	0.3903	2.173e+03
5.767e-05	0.3902	2.174e+03
5.941e-02	0.3885	2.363e+03
5.537e-02	0.3885	2.398e+03
5.513e-02	0.3885	2.400e+03
4.571e-02	0.3885	2.466e+03
4.394e-02	0.3885	2.477e+03
3.661e-02	0.3886	2.519e+03
3.649e-02	0.3886	2.519e+03
2.936e-02	0.3886	2.552e+03
2.694e-02	0.3886	2.562e+03
1.038e-02	0.3888	2.622e+03
4.258e-03	0.3891	2.643e+03
1.179e-04	0.3909	2.667e+03
7.288e-05	0.3912	2.655e+03
7.447e-05	0.3912	2.653e+03
7.448e-05	0.3912	2.653e+03
7.342e-05	0.3910	2.652e+03
7.343e-05	0.3910	2.652e+03
7.408e-05	0.3910	2.652e+03
7.562e-05	0.3908	2.652e+03
7.754e-05	0.3907	2.652e+03
7.982e-05	0.3905	2.652e+03
8.003e-05	0.3905	2.652e+03
